AÑO;TOTAL MATRÍCULA;TOTAL MATRÍCULA MUJERES;TOTAL MATRÍCULA HOMBRES;TOTAL MATRÍCULA NO BINARIOS O INDEFINIDOS;TOTAL MATRÍCULA PRIMER AÑO;TOTAL MATRÍCULA MUJERES PRIMER AÑO;TOTAL MATRÍCULA HOMBRES PRIMER AÑO;TOTAL MATRÍCULA NO BINARIOS O INDEFINIDOS PRIMER AÑO;CLASIFICACIÓN INSTITUCIÓN NIVEL 1;CLASIFICACIÓN INSTITUCIÓN NIVEL 2;CLASIFICACIÓN INSTITUCIÓN NIVEL 3;CÓDIGO DE INSTITUCIÓN;NOMBRE INSTITUCIÓN;ACREDITACIÓN INSTITUCIONAL;REGIÓN;PROVINCIA;COMUNA;NOMBRE SEDE;NOMBRE CARRERA;ÁREA DEL CONOCIMIENTO;CINE-F 1997 ÁREA;CINE-F 1997 SUBAREA;ÁREA CARRERA GENÉRICA;CINE-F 2013 ÁREA;CINE-F 2013 SUBAREA;NIVEL GLOBAL;CARRERA CLASIFICACIÓN NIVEL 1;CARRERA CLASIFICACIÓN NIVEL 2;MODALIDAD;JORNADA;TIPO DE PLAN DE LA CARRERA;DURACIÓN ESTUDIO CARRERA;DURACIÓN TOTAL DE CARRERA;CÓDIGO CARRERA;ACREDITACIÓN CARRERA;TOTAL RANGO DE EDAD;RANGO DE EDAD 15 A 19 AÑOS;RANGO DE EDAD 20 A 24 AÑOS;RANGO DE EDAD 25 A 29 AÑOS;RANGO DE EDAD 30 A 34 AÑOS;RANGO DE EDAD 35 A 39 AÑOS;RANGO DE EDAD 40 Y MÁS AÑOS;RANGO DE EDAD SIN INFORMACIÓN; PROMEDIO EDAD CARRERA      ; PROMEDIO EDAD MUJER      ; PROMEDIO EDAD HOMBRE      ; PROMEDIO EDAD NO BINARIO ;TES MUNICIPAL + SERVICIO LOCAL EDUCACION;TES PARTICULAR SUBVENCIONADO;TES PARTICULAR PAGADO;TES CORP. DE ADMINISTRACIÓN DELEGADA;TOTAL TES;% COBERTURA TES;TIPO ESTABLECIMIENTO HC;TIPO ESTABLECIMIENTO TP;CLAS_EST ADULTO;CLAS_EST JOVEN
MAT_2026;3;2;1;;3;2;1;;Universidades;Universidades Privadas;Universidades Privadas;2;UNIVERSIDAD FINIS TERRAE;ACREDITADA;Metropolitana;SANTIAGO;PROVIDENCIA;CASA CENTRAL (SANTIAGO);DIPLOMADO EN GESTION CULTURAL VINCULADO A LA EDUCACION;Ciencias Sociales;Ciencias Sociales, Enseñanza Comercial y Derecho;Ciencias Sociales y del Comportamiento;Postítulo en Ciencias Sociales;Ciencias Sociales, Periodismo e Información;Ciencias Sociales y del Comportamiento;Postítulo;Diplomado (desde un semestre);Postítulo;No Presencial;A Distancia;Plan Regular;1;1;I2S1C594J4V1;NO ACREDITADA;3;;;;1;;2;; 42,7 ; 38,0 ; 52,0 ;;;1;;;1;33,3%;1;;;1
MAT_2026;6;2;4;;;;;;Universidades;Universidades Privadas;Universidades Privadas;10;UNIVERSIDAD MAYOR;ACREDITADA;Metropolitana;SANTIAGO;PROVIDENCIA;SEDE MANUEL MONTT;PEDAGOGIA EN ARTES MUSICALES PARA LA EDUCACION BASICA Y EDUCACION MEDIA;Educación;Educación;Formación de Personal Docente y Ciencias de la Educación;Pedagogía en Artes y Música;Educación;Educación;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;Plan Regular;10;10;I10S7C173J1V1;ACREDITADA;6;;1;5;;;;; 26,2 ; 26,5 ; 26,0 ;;2;3;1;;6;100,0%;6;;1;5
MAT_2026;1;;1;;;;;;Universidades;Universidades Privadas;Universidades Privadas;10;UNIVERSIDAD MAYOR;ACREDITADA;Metropolitana;SANTIAGO;LAS CONDES;SEDE CONSERVATORIO DE MUSICA;PEDAGOGIA EN ARTES MUSICALES PARA LA EDUCACION BASICA Y EDUCACION MEDIA;Educación;Educación;Formación de Personal Docente y Ciencias de la Educación;Pedagogía en Artes y Música;Educación;Educación;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;Plan Regular;10;10;I10S9C173J1V1;ACREDITADA;1;;;;;1;;; 36,0 ;; 36,0 ;;;1;;;1;100,0%;;1;;1
MAT_2026;1;1;;;;;;;Universidades;Universidades Privadas;Universidades Privadas;10;UNIVERSIDAD MAYOR;ACREDITADA;Metropolitana;SANTIAGO;LAS CONDES;SEDE CONSERVATORIO DE MUSICA;INTERPRETE MUSICAL SUPERIOR EN CANTO POPULAR;Arte y Arquitectura;Humanidades y Artes;Artes;Música, Canto o Danza;Artes y Humanidades;Artes;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;Plan Regular;12;12;I10S9C2J1V1;NO ACREDITADA;1;;;1;;;;; 25,0 ; 25,0 ;;;;;1;;1;100,0%;1;;;1
MAT_2026;56;16;40;;;;;;Universidades;Universidades Privadas;Universidades Privadas;10;UNIVERSIDAD MAYOR;ACREDITADA;Metropolitana;SANTIAGO;LAS CONDES;SEDE CONSERVATORIO DE MUSICA;INTERPRETE MUSICAL SUPERIOR;Arte y Arquitectura;Humanidades y Artes;Artes;Música, Canto o Danza;Artes y Humanidades;Artes;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;Plan Regular;8;8;I10S9C760J1V1;NO ACREDITADA;56;;30;20;5;;1;; 25,1 ; 24,7 ; 25,3 ;;19;20;10;2;51;91,1%;48;3;4;47
MAT_2026;3;;3;;;;;;Universidades;Universidades Privadas;Universidades Privadas;10;UNIVERSIDAD MAYOR;ACREDITADA;Metropolitana;SANTIAGO;LAS CONDES;SEDE CONSERVATORIO DE MUSICA;COMPOSICION MUSICAL SUPERIOR;Arte y Arquitectura;Humanidades y Artes;Artes;Música, Canto o Danza;Artes y Humanidades;Artes;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;Plan Regular;8;8;I10S9C761J1V1;NO ACREDITADA;3;;;2;1;;;; 28,0 ;; 28,0 ;;;;2;;2;66,7%;2;;;2
MAT_2026;10;6;4;;10;6;4;;Universidades;Universidades Privadas;Universidades Privadas;10;UNIVERSIDAD MAYOR;ACREDITADA;Metropolitana;SANTIAGO;PROVIDENCIA;SEDE MANUEL MONTT;DIPLOMADO EN DIDACTICA DE LA MUSICA;Educación;Educación;Formación de Personal Docente y Ciencias de la Educación;Postítulo en Educación;Educación;Educación;Postítulo;Diplomado (desde un semestre);Postítulo;Presencial;Vespertina;Plan Regular;1;1;I10S7C883J2V1;NO ACREDITADA;10;;1;5;1;2;1;; 31,0 ; 28,5 ; 34,8 ;;;7;2;;9;90,0%;9;;1;8
MAT_2026;9;3;6;;;;;;Universidades;Universidades Privadas;Universidades Privadas;10;UNIVERSIDAD MAYOR;ACREDITADA;Metropolitana;SANTIAGO;PROVIDENCIA;SEDE MANUEL MONTT;POSTITULO EN EDUCACION MUSICAL PARA EDUCACION GENERAL BASICA;Educación;Educación;Formación de Personal Docente y Ciencias de la Educación;Postítulo en Educación;Educación;Educación;Postítulo;Postítulo;Postítulo;Presencial;Vespertina;Plan Regular;2;2;I10S7C995J2V1;NO ACREDITADA;9;;;1;1;;7;; 42,0 ; 34,3 ; 45,8 ;;2;2;;;4;44,4%;4;;;4
MAT_2026;81;24;57;;24;5;19;;Universidades;Universidades Privadas;Universidades Privadas;11;UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO;ACREDITADA;Metropolitana;SANTIAGO;SANTIAGO;CAMPUS REPUBLICA;COMPOSICION MUSICAL;Arte y Arquitectura;Humanidades y Artes;Artes;Música, Canto o Danza;Artes y Humanidades;Artes;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;Plan Regular;10;10;I11S2C152J1V1;NO ACREDITADA;81;21;46;10;3;;1;; 22,1 ; 21,5 ; 22,4 ;;31;45;2;2;80;98,8%;68;12;6;74
MAT_2026;97;24;73;;24;4;20;;Universidades;Universidades Privadas;Universidades Privadas;11;UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO;ACREDITADA;Metropolitana;SANTIAGO;SANTIAGO;CAMPUS REPUBLICA;INTERPRETACION MUSICAL;Arte y Arquitectura;Humanidades y Artes;Artes;Música, Canto o Danza;Artes y Humanidades;Artes;Pregrado;Profesional Con Licenciatura;Carreras Profesionales;Presencial;Diurna;Plan Regular;10;10;I11S2C212J1V1;NO ACREDITADA;97;25;47;17;6;2;;; 22,6 ; 22,9 ; 22,6 ;;38;44;5;6;93;95,9%;81;12;9;84
