nombre_normalizado,nombre_original,veredicto,categoria,metodo,razon
(plan de continuidad de estudios) agronomia,(PLAN DE CONTINUIDAD DE ESTUDIOS) AGRONOMIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
(plan de continuidad de estudios) ingenieria civil industrial,(PLAN DE CONTINUIDAD DE ESTUDIOS) INGENIERIA CIVIL INDUSTRIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
(plan de continuidad de estudios) ingenieria de ejecucion en prevencion de riesgos,(PLAN DE CONTINUIDAD DE ESTUDIOS) INGENIERIA DE EJECUCION EN PREVENCION DE RIESGOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
(plan de continuidad de estudios) ingenieria de ejecucion industrial,(PLAN DE CONTINUIDAD DE ESTUDIOS) INGENIERIA DE EJECUCION INDUSTRIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
(plan de continuidad de estudios) ingenieria en construccion,(PLAN DE CONTINUIDAD DE ESTUDIOS) INGENIERIA EN CONSTRUCCION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
actividad fisica,ACTIVIDAD FISICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
actuacion,ACTUACION,EXCLUIR,,lexico,Teatro puro (sin mención de música)
actuacion 3a,ACTUACION 3A,EXCLUIR,,lexico,Teatro puro (sin mención de música)
actuacion teatral,ACTUACION TEATRAL,EXCLUIR,,lexico,Teatro puro (sin mención de música)
actuacion y creacion teatral,ACTUACION Y CREACION TEATRAL,EXCLUIR,,lexico,Teatro puro (sin mención de música)
administracion,ADMINISTRACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion agropecuaria,ADMINISTRACION AGROPECUARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion bancaria,ADMINISTRACION BANCARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion bancaria y tecnicas contables,ADMINISTRACION BANCARIA Y TECNICAS CONTABLES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion bancaria.pev,ADMINISTRACION BANCARIA.PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion bilingue,ADMINISTRACION BILINGÜE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion comercial,ADMINISTRACION COMERCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion comercial, mencion ventas","ADMINISTRACION COMERCIAL, MENCION VENTAS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion contable y financiera,ADMINISTRACION CONTABLE Y FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de artes culinarias y servicios,ADMINISTRACION DE ARTES CULINARIAS Y SERVICIOS,EXCLUIR,,lexico,Arte sin mención musical explícita
administracion de ecoturismo,ADMINISTRACION DE ECOTURISMO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas,ADMINISTRACION DE EMPRESAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas (modulos),ADMINISTRACION DE EMPRESAS (MODULOS),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas (plan especial),ADMINISTRACION DE EMPRESAS (PLAN ESPECIAL),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas (sp),ADMINISTRACION DE EMPRESAS (SP),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas administracion publica,ADMINISTRACION DE EMPRESAS ADMINISTRACION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas agricolas,ADMINISTRACION DE EMPRESAS AGRICOLAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con especialidad en gestion financiera,ADMINISTRACION DE EMPRESAS CON ESPECIALIDAD EN GESTION FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con especialidad en marketing,ADMINISTRACION DE EMPRESAS CON ESPECIALIDAD EN MARKETING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
