nombre_normalizado,veredicto,categoria,metodo,razon
(plan de continuidad de estudios) agronomia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
(plan de continuidad de estudios) ingenieria civil industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
(plan de continuidad de estudios) ingenieria de ejecucion en prevencion de riesgos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
(plan de continuidad de estudios) ingenieria de ejecucion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
(plan de continuidad de estudios) ingenieria en construccion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
actividad fisica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
actuacion,EXCLUIR,,lexico,Teatro puro (sin mención de música)
actuacion 3a,EXCLUIR,,lexico,Teatro puro (sin mención de música)
actuacion teatral,EXCLUIR,,lexico,Teatro puro (sin mención de música)
actuacion y creacion teatral,EXCLUIR,,lexico,Teatro puro (sin mención de música)
administracion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion agropecuaria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion bancaria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion bancaria y tecnicas contables,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion bancaria.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion bilingue,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion comercial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion comercial, mencion ventas",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion contable y financiera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de artes culinarias y servicios,EXCLUIR,,lexico,Arte sin mención musical explícita
administracion de ecoturismo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas (modulos),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas (sp),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas administracion publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas agricolas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con especialidad en gestion financiera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con especialidad en marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con mencion en comercio exterior (modulos de competencia),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con mencion en computacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con mencion en gestion de negocios (modulos de competencia),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con mencion en gestion financiera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con mencion en personal y finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con mencion en rrhh o finanzas sp,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas con mencion en rrhh, finanzas o ventas",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas con mencion marketing digital,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas constructoras mencion desarrollo inmobiliario y desarrollo de obras civiles,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas control de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas de servicios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas de turismo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas en marketing y comunicacion digital,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas especialidad en proyectos y finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas gestion financiera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas hoteleras y servicios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas m. contabilidad y finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas m. marketing y ventas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas m. marketing y ventas (5 semestres),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas m. recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas m. recursos humanos (5 semestres),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion : organizaciones de salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion banca e instituciones financieras,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas mencion banca e instituciones financieras, marketing y ventas, negocios, retail",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion comercio exterior,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion contabilidad y finanzas (5 semestres),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion control de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion en computacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion en gestion municipal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas mencion gestion de marketing, personal o finanzas",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion gestion de personas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion gestion de recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion gestion financiera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion instituciones financieras,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion logistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion logistica.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing o comercio exterior,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing y personal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing y ventas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing y ventas o comercio exterior o gestion de capital humano,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing y ventas o comercio exterior o gestion del capital humano,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas mencion marketing y ventas, negocios, banca e instituciones financieras",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion marketing.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion personal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion retail,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas mencion rrhh,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas personal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas plan comun,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas turisticas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas turisticas mencion turismo aventura,EXCLUIR,,llm,"Enfocado en turismo y gestión empresarial, sin vínculo musical."
"administracion de empresas turisticas, mencion viajes y turismo",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas y gestion de marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de empresas y recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas, mencion finanzas",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion de empresas, mencion recursos humanos",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de hoteles y restaurantes,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de industria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de la gestion publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de la prevencion de riesgos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion de la seguridad privada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
