tipo,nombre_normalizado,veredicto,categoria,metodo,razon
red,coreografia y pedagogia en danza-teatro,EXCLUIR,,llm,No incluye estudio de música.
red,danza,EXCLUIR,,llm,No incluye estudio de música.
red,danza y coreografia,EXCLUIR,,llm,No incluye estudio de música.
red,interpretacion en danza,EXCLUIR,,llm,No incluye estudio de música.
red,"interpretacion, mencion danza",EXCLUIR,,llm,No incluye estudio de música.
red,interprete en danza,EXCLUIR,,llm,No incluye estudio de música.
red,licenciatura en danza,EXCLUIR,,llm,No incluye estudio de música.
red,licenciatura en danza menciones pedagogia/interprete/coreografo,EXCLUIR,,llm,No incluye estudio de música.
red,licenciatura en educacion artistica y pedagogia en artes visuales,EXCLUIR,,llm,No incluye estudio de música.
red,licenciatura en educacion de las artes plasticas y pedagogia en artes plasticas,EXCLUIR,,llm,No incluye estudio de música.
red,licenciatura en educacion y pedagogia en artes plasticas,EXCLUIR,,llm,No incluye estudio de música.
red,licenciatura en educacion y pedagogia en artes visuales,EXCLUIR,,llm,No incluye estudio de música.
red,licenciatura y pedagogia en artes,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia artes plasticas mencion pintura y/o escultura y/o grabado,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia educacion media en artes visuales,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia en arte,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia en arte y diseno,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia en artes manuales,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia en artes plasticas,EXCLUIR,,llm,No incluye estudio de música.
red,"pedagogia en artes plasticas, basica y media",EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia en artes visuales,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia en artes visuales con mencion en patrimonio,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia en artes visuales modalidad prosecucion de estudios,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia en danza,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia en educacion media artes visuales,EXCLUIR,,llm,No incluye estudio de música.
red,pedagogia en educacion media en artes visuales,EXCLUIR,,llm,"Se centra en artes visuales, sin mención de música."
red,pedagogia en teoria e historia del arte y diseno,EXCLUIR,,llm,Enfocado en teoría de arte y diseño; no menciona música.
red,pedagogia media en artes visuales,EXCLUIR,,llm,"Programa orientado a artes visuales, sin referencia a música."
red,pedagogia y licenciatura en artes,DUDOSO,,llm,No se especifica si incluye música o solo otras artes; revisión necesaria.
red,pet de danza,EXCLUIR,,llm,"Programa de danza, no abarca contenido musical."
red,plan especial pedagogia y licenciatura en artes visuales,EXCLUIR,,llm,Enfoque en artes visuales; no menciona música.
red,programa de pedagogia en educacion media en artes visuales,EXCLUIR,,llm,"Programa educativo en artes visuales, sin contenido musical."
red,programa especial de titulacion pedagogia media en artes visuales,ERROR,,llm,Nombre 'programa especial de titulacion pedagogia media en artes visuales' ausente en la respuesta del LLM
red,prosecucion de estudios licenciatura en educacion y pedagogia en artes escenicas con mencion en danza o teatro,EXCLUIR,,llm,"Mención específica en danza y teatro, sin referencia musical."
control,diplomado en implementacion y auditoria interna de sistemas integrados de gestion,EXCLUIR,,llm,Enfocado en gestión de sistemas; no tiene relación con música.
control,magister en gestion y desarrollo regional y local,EXCLUIR,,llm,"Programa de gestión regional, sin contenido musical."
control,diplomado en gestion de creatividad innovacion y emprendimiento para profesores de ensenanza tecnico profesional,EXCLUIR,,llm,Enfocado en creatividad y emprendimiento; no menciona música.
control,ingenieria comercial mencion gestion,EXCLUIR,,llm,"Carrera de ingeniería comercial, sin vínculo con la música."
control,programa de especializacion en enfermeria en cuidados intensivos del nino,EXCLUIR,,llm,Programa médico; no incluye estudios musicales.
control,tecnologia en administracion de empresas mencion marketing,ERROR,,llm,Nombre 'tecnologia en administracion de empresas mencion marketing' ausente en la respuesta del LLM
control,teatro profesional,EXCLUIR,,llm,Programa teatral; no se indica que sea musical.
control,ingenieria en automatizacion y control industrial (pce),EXCLUIR,,llm,"Carrera de ingeniería industrial, sin contenido musical."
control,administracion de empresas turisticas mencion turismo aventura,EXCLUIR,,llm,Programa de gestión turística; no aborda música.
control,diplomado en discapacidad e inclusion,EXCLUIR,,llm,"Enfoque en discapacidad, sin referencia a la música."
control,diplomado en gestion estrategica de org,EXCLUIR,,llm,Programa de gestión organizacional; no incluye música.
