tipo,nombre_normalizado,veredicto,categoria,metodo,razon
red,coreografia y pedagogia en danza-teatro,EXCLUIR,,llm,"El programa se centra en danza y teatro, no en música."
red,danza,EXCLUIR,,llm,"Solo menciona danza, sin relación con la música."
red,danza y coreografia,EXCLUIR,,llm,Enfocado exclusivamente en danza y coreografía.
red,interpretacion en danza,EXCLUIR,,llm,"Se refiere a interpretación dancística, no musical."
red,"interpretacion, mencion danza",EXCLUIR,,llm,"Mención a danza, sin indicio de contenido musical."
red,interprete en danza,EXCLUIR,,llm,"Programa de formación de intérpretes de danza, no de música."
red,licenciatura en danza,EXCLUIR,,llm,"Licenciatura enfocada en danza, fuera del ámbito musical."
red,licenciatura en danza menciones pedagogia/interprete/coreografo,EXCLUIR,,llm,"Programa de danza con menciones pedagógicas y de interpretación coreográfica, sin música."
red,licenciatura en educacion artistica y pedagogia en artes visuales,EXCLUIR,,llm,"Se trata de educación artística visual, no musical."
red,licenciatura en educacion de las artes plasticas y pedagogia en artes plasticas,EXCLUIR,,llm,"Enfoque en artes plásticas, sin vínculo con la música."
red,licenciatura en educacion y pedagogia en artes plasticas,EXCLUIR,,llm,"Programa de artes plásticas, no musical."
red,licenciatura en educacion y pedagogia en artes visuales,EXCLUIR,,llm,"Orientado a artes visuales, fuera del ámbito musical."
red,licenciatura y pedagogia en artes,EXCLUIR,,llm,Término genérico de artes sin indicar música.
red,pedagogia artes plasticas mencion pintura y/o escultura y/o grabado,EXCLUIR,,llm,"Se refiere a artes plásticas específicas, no a música."
red,pedagogia educacion media en artes visuales,EXCLUIR,,llm,"Programa de educación media en artes visuales, sin componente musical."
red,pedagogia en arte,EXCLUIR,,llm,"Término amplio de arte, no especifica música."
red,pedagogia en arte y diseno,EXCLUIR,,llm,"Incluye arte y diseño, sin referencia a la música."
red,pedagogia en artes manuales,EXCLUIR,,llm,"Se centra en artes manuales, no en música."
red,pedagogia en artes plasticas,EXCLUIR,,llm,"Enfocado en artes plásticas, sin vínculo musical."
red,"pedagogia en artes plasticas, basica y media",EXCLUIR,,llm,"Programas de nivel básico y medio en artes plásticas, no música."
red,pedagogia en artes visuales,EXCLUIR,,llm,"Formación en artes visuales, no contiene contenido musical."
red,pedagogia en artes visuales con mencion en patrimonio,EXCLUIR,,llm,"Programa de artes visuales con énfasis en patrimonio, sin relación musical."
red,pedagogia en artes visuales modalidad prosecucion de estudios,EXCLUIR,,llm,"Continúa estudios en artes visuales, no musical."
red,pedagogia en danza,EXCLUIR,,llm,"Se trata de pedagogía en danza, no incluye música."
red,pedagogia en educacion media artes visuales,EXCLUIR,,llm,"Enfocado en educación media de artes visuales, sin componente musical."
