nombre_normalizado,veredicto,categoria,metodo,razon
canto popular,INCLUIR,Interpretación musical,llm,"El programa se centra en la práctica e interpretación del canto, que es una actividad musical."
composicion y arreglos,INCLUIR,Composición y arreglos,llm,El objeto de estudio es la creación y adaptación de obras musicales.
curso de especializacion de postitulo en musicoterapia,INCLUIR,Musicoterapia,llm,El programa está explícitamente orientado a la musicoterapia.
curso de especializacion de postitulo en terapias de arte m/musicoterapia,INCLUIR,Musicoterapia,llm,Menciona musicoterapia como parte del contenido del curso.
curso de especializacion de postitulo en terapias de arte mencion musicoterapia,INCLUIR,Musicoterapia,llm,La mención a musicoterapia indica que la música es parte central del programa.
"curso de especializacion de postitulo en terapias de arte, mencion musicoterapia",INCLUIR,Musicoterapia,llm,Incluye la disciplina de musicoterapia dentro de las terapias de arte.
diploma de postitulo en comunicacion y gestion cultural,EXCLUIR,,llm,No especifica música; se enfoca en comunicación y gestión cultural en general.
diploma de postitulo en direccion orquestal,INCLUIR,Gestión cultural,llm,La dirección de orquesta es una actividad ligada al ámbito musical.
diploma de postitulo en gestion cultural,EXCLUIR,,llm,El programa se refiere a gestión cultural sin indicar foco musical.
diploma de postitulo en gestion cultural comunitaria y politicas culturales,EXCLUIR,,llm,"Enfoque amplio en gestión y políticas culturales, sin referencia explícita a la música."
diplomado de especializacion en direccion coral escolar,INCLUIR,Gestión cultural,llm,La dirección coral está directamente vinculada a la práctica musical.
diplomado de recursos musicoterapeuticos para el abordaje de la salud y la educacion,INCLUIR,Musicoterapia,llm,"El título menciona recursos musicoterapéuticos, indicando un enfoque musical."
diplomado en direccion coral,INCLUIR,Gestión cultural,llm,"Se trata de la dirección de coros, actividad musical."
diplomado en direccion coral escolar,INCLUIR,Gestión cultural,llm,La dirección coral en contexto escolar es claramente un programa musical.
diplomado en direccion de orquestas juveniles e infantiles,INCLUIR,Gestión cultural,llm,La dirección de orquestas juveniles e infantiles es una disciplina musical.
diplomado en direccion de orquestas juveniles e infantiles nivel i,INCLUIR,Gestión cultural,llm,Mismo argumento que el programa anterior; se enfoca en música.
diplomado en especializacion en direccion coral escolar,INCLUIR,Gestión cultural,llm,"Claramente orientado a la dirección coral, actividad musical."
diplomado en gestion cultural,EXCLUIR,,llm,No indica vínculo con la música.
diplomado en gestion cultural mencion administracion de organizaciones culturales,EXCLUIR,,llm,"Se centra en administración de organizaciones culturales, sin referencia a la música."
diplomado en gestion cultural mencion educacion artistica o mediacion lectora,EXCLUIR,,llm,"El enfoque es educación artística y mediación lectora, no necesariamente musical."
diplomado en gestion cultural publica y privada,EXCLUIR,,llm,Programa de gestión cultural sin indicio de contenido musical.
diplomado en gestion cultural vinculado a la educacion,EXCLUIR,,llm,"Enfoque en gestión cultural y educación, sin especificar música."
diplomado en gestion y autogestion cultural,EXCLUIR,,llm,"Programa general de gestión cultural, sin referencia a la música."
diplomado especializacion en direccion de orquestas juveniles e infantiles nivel ii,INCLUIR,Gestión cultural,llm,"Continúa la línea de dirección de orquestas, área musical."
diplomado gestion cultural del patrimonio,DUDOSO,,llm,Podría referirse a patrimonio cultural en general o patrimonial musical; requiere revisión.
etapa basica de la licenciatura en artes con mencion en composicion,INCLUIR,Composición y arreglos,llm,"El programa menciona composición, que es una disciplina musical."
gestion cultural,DUDOSO,,llm,No especifica si la gestión está enfocada en la música o en la cultura en general.
ingenieria de ejecucion en sonido,INCLUIR,Producción musical y sonido,llm,"Se trata de ingeniería de sonido, área vinculada a la producción musical."
ingenieria en sonido,INCLUIR,Producción musical y sonido,llm,"Enfoque en tecnología y producción de sonido, parte del ámbito musical."
ingenieria en sonido (p.e.),INCLUIR,Producción musical y sonido,llm,"Mismo caso que ingeniería en sonido, relacionado con la producción sonora."
ingenieria en sonido continuidad,INCLUIR,Producción musical y sonido,llm,"Continúa la carrera de ingeniería de sonido, pertinente a la música."
instructor en piano y teoria,INCLUIR,Pedagogía en música,llm,Formación docente de piano y teoría musical.
